type,involved_person,datetime,operation,operation_name,location,latitude,longitude,street_id,street_name,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,removal_of_more_than_outer_clothing
Person search,True,2022-01-14T17:30:00+00:00,False,,"52.066033, 1.277346",52.066033,1.277346,1136207,On or near Petrol Station,Female,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,A no further action disposal,False,False
Person search,True,2022-01-14T19:44:00+00:00,False,,"52.231898, 0.727820",52.231898,0.727820,1139948,On or near Victory Close,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,True
Person search,True,2022-01-14T20:00:00+00:00,False,,"52.493522, 1.603438",52.493522,1.603438,991022,On or near Church Lane,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,True,2022-01-14T20:00:00+00:00,False,,"52.491376, 1.739686",52.491376,1.739686,1144396,On or near Godetia Court,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,True,2022-01-14T20:45:00+00:00,False,,"52.056443, 1.151592",52.056443,1.151592,1135675,On or near Coytes Gardens,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-15T00:45:00+00:00,False,,"52.021993, 0.753698",52.021993,0.753698,1134349,On or near Sports/Recreation Area,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,True
Person search,True,2022-01-15T01:15:00+00:00,False,,"52.052488, 1.149490",52.052488,1.149490,1135830,On or near Grafton Way,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T01:21:00+00:00,False,,"52.021993, 0.753698",52.021993,0.753698,1134349,On or near Sports/Recreation Area,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,True
Person search,True,2022-01-15T01:40:00+00:00,False,,"52.242630, 0.694403",52.242630,0.694403,1140073,On or near Highbury Road,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T01:45:00+00:00,False,,"52.055728, 1.155437",52.055728,1.155437,1135757,On or near Bus/Coach Station,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T05:40:00+00:00,False,,"52.247840, 0.697825",52.247840,0.697825,1140397,On or near Westley Road,Female,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,True,2022-01-15T07:50:00+00:00,False,,"52.060767, 1.150306",52.060767,1.150306,1136651,On or near St Georges Street,Male,over 34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T08:00:00+00:00,False,,"52.060767, 1.150306",52.060767,1.150306,1136651,On or near St Georges Street,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T10:30:00+00:00,False,,"52.066320, 1.138716",52.066320,1.138716,1136792,On or near Norwich Road,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T10:45:00+00:00,False,,"52.065584, 1.137322",52.065584,1.137322,1136796,On or near Brooks Hall Road,Male,over 34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T11:00:00+00:00,False,,"51.967976, 1.329315",51.967976,1.329315,1133849,On or near Reynolds Court,Male,,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T11:30:00+00:00,False,,"51.967976, 1.329315",51.967976,1.329315,1133849,On or near Reynolds Court,Male,18-24,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T13:25:00+00:00,False,,"51.972364, 1.337942",51.972364,1.337942,1133802,On or near Supermarket,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T15:35:00+00:00,False,,"52.064892, 1.135289",52.064892,1.135289,1136772,On or near Thetford Road,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T15:53:00+00:00,False,,"52.064251, 1.134704",52.064251,1.134704,1136775,On or near Sallows Close,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,True,2022-01-15T20:29:00+00:00,False,,"52.347834, 0.522256",52.347834,0.522256,1141900,On or near Newnham Close,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,True,2022-01-15T21:32:00+00:00,False,,"52.066144, 1.136573",52.066144,1.136573,1136799,On or near All Saints' Road,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-15T22:20:00+00:00,False,,"52.055961, 1.155483",52.055961,1.155483,1135747,On or near Dogs Head Street,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,True,2022-01-15T23:40:00+00:00,False,,"52.216629, 1.479860",52.216629,1.479860,1139707,On or near Bittern Road,Male,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-16T08:45:00+00:00,False,,"52.480096, 1.750219",52.480096,1.750219,1144368,On or near Cathcart Street,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-16T10:00:00+00:00,False,,"52.092421, 1.320400",52.092421,1.320400,1137667,On or near Hamblin Road,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
